Company,Video_URL,Description,Industry,Market_Segment,Email,Website,Booth,Company_URL
CELORB,https://youtu.be/LcsLv2d-_6o,User-friendly organoids you can trust,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",,Booth:43,https://create-x.gatech.edu/node/3585
Battery Free UAV,https://youtu.be/X014e4Y1GCY,Buiilding battery free energy harvesting drones capable of long sustainable UAV flights.,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",,Booth:44,https://create-x.gatech.edu/node/3586
BreezyMed,https://youtu.be/A4ELZx8BiLo,Breezy is a patient assessment tool for medical practices to streamline patient intake and generate 60% of clinical documentation in advance.,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://dullayash.wixsite.com/breezymed,Booth:45,https://create-x.gatech.edu/node/3587
iMedisys,https://youtu.be/548QYvw1bWI,"We use AI to help clinics get paid more, faster.","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",http://imedisys.co,Booth:46,https://create-x.gatech.edu/node/3588
Avova Health,https://youtu.be/WIdk-2gNBoU,A digital assistant to help mobile phelbotomists run their business,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://avova.health,Booth:47,https://create-x.gatech.edu/node/3589
Kinemo,https://youtu.be/h1cQ04BFqho,We're creating a wearable human-computer interface for people with limited upper-limb mobility so they can use their digital devices and power wheelchair independently.,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://kinemo.io/,Booth:48,https://create-x.gatech.edu/node/3590
Rapid Deployment Medical Training,N/A,RDMT provides variable and realistic wound packing and tourniquet application training aids for the military and first responders.,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://rdmedicaltraining.com,Booth:49,https://create-x.gatech.edu/node/3591
Qualitic Biotechnology LLC,https://youtu.be/Bto9HWTfqyk,Qualitic holds the IP for a rapid C. difficile bacterial screening device.,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",,Booth:50,https://create-x.gatech.edu/node/3592
In-Bore Surgeon,https://youtu.be/QKYZhujPAm0,Creating effective solutions for the MR environment.,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://sites.gatech.edu/labbm2/,Booth:51,https://create-x.gatech.edu/node/3593
Quency Augmented Reality,https://youtu.be/vvkWPfFmIME,Augmented reality software for real time 3D medical ultrasound imaging,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://www.Quency.co,Booth:52,https://create-x.gatech.edu/node/3594
"Infinite Loupe, Inc.",https://youtu.be/TLPv9jBJO3M,"Our mission is to transform surgical procedures by integrating advanced technologies like AR/VR and AI, enhancing patient safety, improving surgical visualization, and setting a new paradigm in healthcare. We are committed to developing innovative solutions that empower surgeons to perform surgeries more efficiently and precisely while ensuring their physical well-being.","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://theinfiniteloupe.com/,Booth:53,https://create-x.gatech.edu/node/3644
NTERSEC Inc.,https://youtu.be/qnqltsbIt_s,"Revolutionize heart health — to save millions of lives from global risk of heart failure through early screening, AI and patient empowerment.","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://www.ntersec.net,Booth:54,https://create-x.gatech.edu/node/3596
OptiDrop,https://youtu.be/mvaJlc5bj8g,Optidrop will reduce treatment challenges faced by glaucoma patients in administering eye drops with a wearable device that aligns with the user's eye automatically and dispenses drops with precision.,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",,Booth:55,https://create-x.gatech.edu/node/3597
Lilypad Health Inc.,https://youtu.be/JGaVyVhaqTc,We have created a non-invasive menstrual blood screening tool that enables users to monitor their general and gynecological health from the comfort of their home.,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://www.lilypadhealth.com/,Booth:56,https://create-x.gatech.edu/node/3598
NeuroChamp,https://youtu.be/1ZviEVjJAJ8,"NeuroChamp is a daily-wearable, concealed headband that continuously monitors pediatric seizures beyond a hospital setting to support better-informed treatment.","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://neurochampeeg.com,Booth:57,https://create-x.gatech.edu/node/3599
Senior Shield,https://youtu.be/juJ85geLin0,We are making an incontinence monitoring pad to ensure that people with incontinence get changed at the right time.,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://www.sites.gatech.edu/seniorshield/,Booth:58,https://create-x.gatech.edu/node/3600
NeuroTrack Inc.,https://youtu.be/WfP1oLxV_c4,Remote Parkinson’s Symptom Tracking,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://www.neurtrak.com,Booth:59,https://create-x.gatech.edu/node/3601
Calendo,https://youtu.be/SZZ-Ca5OCEg,"Easily get weekly productivity insights with Calendo. Track the time it takes you to do math homework, code out a project, or even how long you spend on YouTube.","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://www.calendo.co/,Booth:25,https://create-x.gatech.edu/node/3572
"Crave Fit, Inc.",https://youtu.be/n369UeuYTgc,Swipeable Fitness Food Search App,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://crave-fit.com/,Booth:26,https://create-x.gatech.edu/node/3573
Fur Allies,https://youtu.be/y5lYRw8GKtk,Enhancing pet well being with AI and sensors,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://www.furallies.com,Booth:82,https://create-x.gatech.edu/node/3623
Custom Crumb,https://youtu.be/VUcM69rOCEM,"We provide companies with a unique and memorable way to promote their brand through customizable cookies, creating delicious and personalized marketing and community building experiences.","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://www.customcrumbcookies.com/,Booth:83,https://create-x.gatech.edu/node/3624
Horolock Inc.,https://youtu.be/RbDpskcFgdo,"Horolock locks you in with professional horologists all across the U.S, offering seamless watch servicing through customizable online stores. With insured shipping, end-to-end tracking, and our unique Horofax feature, we provide complete transparency and peace of mind for every timepiece.","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://horolock.com,Booth:84,https://create-x.gatech.edu/node/3625
"Daltino, LLC",https://youtu.be/D9uhG8unk4g,CardKey - Plastic Card that fits any two Keys in your walletDumbrella - Fully enclosed umbrella with a watertight container to keep your bag dry,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://daltino.shop,Booth:85,https://create-x.gatech.edu/node/3626
GreenDataAI,https://youtu.be/RCX8oetzgi8,"GreenDataAI is a GenAI-powered recommendation system that aims to bring users closer to meeting their eco-friendly retail needs. The platform helps identify products and services that meet environmental, societal, and governance transparency-related standards. The goal is to help users get closer to building a sustainable future for everyone.","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",http://greendataai.com/,Booth:86,https://create-x.gatech.edu/node/3627
Magimates,https://youtu.be/yRxEjkJw4C0,"A mission-driven company, we are more than just an accessory.","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://www.magimates.com/,Booth:87,https://create-x.gatech.edu/node/3628
"FifthWheel Dating, Inc.",https://youtu.be/LrdQT6XOZ8U,Fifthwheel is a startup redefining the dating and social connection landscape for young adults.,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://www.bubble-date.com/,Booth:88,https://create-x.gatech.edu/node/3629
DolFin Solutions Inc.,https://youtu.be/PXHbgwpS7DY,We’re building an all-in-one personal finance management application for mobile.,Industry:Consumer,,,,Booth:89,https://create-x.gatech.edu/node/3630
Eqinoia,https://youtu.be/jBBiON-m8TE,A mobile app that teaches emotional intelligence to young professionals to help them succeed in professional environments while developing emotionally.,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://eqinoia.com,Booth:90,https://create-x.gatech.edu/node/3631
Fidgital - Play Inc.,https://youtu.be/a8JEGUrCN-8,Reimagining play: a playful approach to reducing focused screen time.,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",,Booth:91,https://create-x.gatech.edu/node/3632
Immersys inc,https://youtu.be/56p-G1nuOtI,"Fully customizable, TSA approved compact pocket-size kits that contain everyday essential items.","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://immersyss.com,Booth:92,https://create-x.gatech.edu/node/3633
Literacy Learning,N/A,The education platform that rewards students & teachers for classroom engagement and progress.,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://www.playliteracy.com,Booth:93,https://create-x.gatech.edu/node/3865
ResuMaster,https://youtu.be/uzP55SHDisY,"ResuMaster: Elevating your career with personalized resume enhancement, expert mock interviews, and cutting-edge industry insights, all in one app!","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://resumaster.ai/,Booth:94,https://create-x.gatech.edu/node/3634
PetReady,https://youtu.be/nvK5dP2yQ4o,An innovative augmented reality mobile app that ensures families are ready for pet care responsibilities.,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://petready.app,Booth:95,https://create-x.gatech.edu/node/3635
PopUp Spaces,https://youtu.be/6phEa3yecok,Our platform allows pop-up business owners to rent temporary retail spaces from existing storefront owners,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://popupspaces.io,Booth:96,https://create-x.gatech.edu/node/3636
"Shala, Inc.",https://youtu.be/QaSMz_w1uy4,Crowdsourced Homemade Meal Marketplace,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://shalaapp.com,Booth:97,https://create-x.gatech.edu/node/3637
Salus,https://youtu.be/g8iAr79wEg4,A neuroscience-based mobile app that helps you fix your relationship with food by addressing the thoughts and emotions behind your eating habits.,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://www.joinsalus.app,Booth:98,https://create-x.gatech.edu/node/3638
This Is M.E.,https://youtu.be/8Bq4QOmwtLM,Every Reflection is a chance to encourage yourself,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://mirrorencouragement.store,Booth:99,https://create-x.gatech.edu/node/3639
VenuGo,https://youtu.be/Ad1JthljhGg,"Host Your Space, Craft Unique Events - Introducing VenuGo, where every corner of your home can become the next event sensation!","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://venugo.app/,Booth:100,https://create-x.gatech.edu/node/3640
Xccelerate Motors,https://youtu.be/dfAfTVWkNpU,"Xccelerate Motors, Corp. is a micro-mobility customization company specializing in innovative, personalized EV accessories while developing our own line of cutting-edge electric scooters and bikes designed for enhanced style, safety, and efficiency.","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://xcceleratemotors.com/,Booth:102,https://create-x.gatech.edu/node/3642
"Eatstash, Inc.",https://youtu.be/fTw5GBiTNCQ,The BYOR meal planning app,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://www.eatstash.com/,Booth:103,https://create-x.gatech.edu/node/3643
EchoNDI,https://youtu.be/OdSLdFXjD3A,"The startup focuses on providing nondestructive testing & evaluation techniques for quality control in manufacturing industries such as automobile, wind turbines and aerospace.","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",,Booth:28,https://create-x.gatech.edu/node/3574
Symbiosilk,https://youtu.be/oPAzeSVIvI4,"Developing next generation operating frameworks for distributed manufacturing, by connecting 3D modelers with 3D printers, we manage efficient distribution and fulfillment of replacement parts and novel designs in a webstore that is open to designers and creators to join using our app and web platform.","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://www.symbiosilk.org,Booth:29,https://create-x.gatech.edu/node/3575
LANNS,https://youtu.be/DK_k2fVSjuk,"Improve sensing performance for autonomous vehicle driving (LIDAR), medical imaging to detect tumor, and radiation detection for nuclear nonproliferation, etc.",Industry:Industrial,,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",,Booth:30,https://create-x.gatech.edu/node/3576
Grove Hydrogen,https://youtu.be/ZXb51Tk5yS4,We are a production and distribution company of clean hydrogen with a creative recipe and AI solution to drive costs way down.,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://grove-hydrogen.com,Booth:31,https://create-x.gatech.edu/node/3577
Aerial Blue,https://youtu.be/mV-v4HhBNrg,"Aerial Blue is a technology company selling the RDK, a device that allows robotics researchers to save months when spinning up robotic testbeds.","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://Aerialblue.com,Booth:37,https://create-x.gatech.edu/node/3871
Bunty AI,https://youtu.be/wowyM3yyyUc,AI Assistant for customer support teams,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://buntyai.com,Booth:6,https://create-x.gatech.edu/node/3555
Tapn,https://youtu.be/WXlIh1x0dyQ,Tap in with Tapn,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://makrpapr.org/,Booth:7,https://create-x.gatech.edu/node/3556
"Seekr Navigation, Inc.",https://youtu.be/xvMXZl1CnIM,We help all individuals regardless of ability navigate airports and other public spaces.,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://seekrnavigation.com,Booth:8,https://create-x.gatech.edu/node/3557
dotflo,https://youtu.be/RAPNt74asjQ,AI-first research & management for sales teams,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://www.dotflo.co,Booth:9,https://create-x.gatech.edu/node/3558
Candor,https://youtu.be/xoIeVJVynaU,AI assistant for property managers to save time and increase revenue.,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://www.candornow.com/,Booth:10,https://create-x.gatech.edu/node/3559
"Gaimify, Inc.",https://youtu.be/3AIGnpPqJ9c,Using AI to innovate bot prevention,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://www.gaimifyinc.com/,Booth:11,https://create-x.gatech.edu/node/3560
Greek Connect,https://youtu.be/nbrjouA-Z8A,Chapter Management Stremlined,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://getgreekconnect.com/,Booth:12,https://create-x.gatech.edu/node/3561
"QTACK, INC.",https://youtu.be/7iAmMwIf1oE,We help ecommerce businesses increase conversions by offering a new AI-based search for their site.,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://www.qtack.com,Booth:14,https://create-x.gatech.edu/node/3562
CROSS,https://youtu.be/aTdz7O-0RE4,"Leverage AI accelerators for cryptographical acceleration such as Fully Homomorphic Encryption to achieve better energy efficiency and faster performance compared to existing CPU, GPU, and FPGA.","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://sites.gatech.edu/cross,Booth:15,https://create-x.gatech.edu/node/3563
"Enloq, Inc.",https://youtu.be/jg7anUbsXIA,We help retailers prevent theft and reduce shrinkage with our AI Surveillance Solution.,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://www.enloq.co/,Booth:16,https://create-x.gatech.edu/node/3564
AQUApro,https://youtu.be/za19dYO0378,Data-driven analytics of stormwater infrastructure for cost-effective maintenance and predicting urban flooding events.,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",,Booth:17,https://create-x.gatech.edu/node/3565
MenstraMap,https://youtu.be/qtIbjFZZfkA,Increasing access to menstrual products on college campuses.,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://menstramap.onrender.com/,Booth:18,https://create-x.gatech.edu/node/3566
Auxilio Technologies,https://youtu.be/WgdpNxN41LU,Accelerating defect detection for battery companies by 10x with AI,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://www.auxiliotechnologies.com/,Booth:19,https://create-x.gatech.edu/node/3567
